#node1	node2	node1_string_id	node2_string_id	node1_external_id	node2_external_id	neighborhood	fusion	cooccurence	homology	coexpression	experimental	knowledge	textmining	combined_score
NOS1	RPS6KB1	1852004	1843035	ENSP00000337459	ENSP00000225577	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.491	0.492
CAV1	ADRBK1	1852186	1849510	ENSP00000339191	ENSP00000312262	0.000	0.000	0.000	0.000	0.000	0.576	0.000	0.000	0.576
NUFIP1	FXR2	1856987	1843993	ENSP00000368459	ENSP00000250113	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.646	0.646
CSH2	IL6	1858052	1844631	ENSP00000376623	ENSP00000258743	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.585	0.585
EEF1A1	TRAP1	1851211	1843846	ENSP00000330054	ENSP00000246957	0.000	0.000	0.000	0.000	0.126	0.588	0.000	0.442	0.781
SPARC	TIMP1	1843274	1842705	ENSP00000231061	ENSP00000218388	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.472	0.944
MECP2	CTCF	1859873	1845456	ENSP00000395535	ENSP00000264010	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.472	0.472
BRCA1	FOS	1861387	1848822	ENSP00000418960	ENSP00000306245	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.459	0.459
IL6	APOE	1844631	1844127	ENSP00000258743	ENSP00000252486	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.942	0.942
RGS4	APP	1859995	1846936	ENSP00000397181	ENSP00000284981	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.000	0.900
CD82	TIMP1	1843104	1842705	ENSP00000227155	ENSP00000218388	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.834	0.834
ID4	CDKN1A	1856918	1843736	ENSP00000367972	ENSP00000244741	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.612	0.613
UBE3A	AR	1858549	1856164	ENSP00000381045	ENSP00000363822	0.000	0.000	0.000	0.000	0.000	0.808	0.000	0.418	0.883
SMN1	SNRPN	1857272	1848820	ENSP00000370083	ENSP00000306223	0.000	0.000	0.000	0.000	0.288	0.803	0.000	0.352	0.901
AKT1	PIK3CA	1846136	1845446	ENSP00000270202	ENSP00000263967	0.000	0.000	0.000	0.000	0.000	0.668	0.900	0.991	0.999
IL10	AKT1	1860958	1846136	ENSP00000412237	ENSP00000270202	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.537	0.537
TNF	CDH1	1860103	1844988	ENSP00000398698	ENSP00000261769	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.515	0.515
CYFIP2	FXR2	1850773	1843993	ENSP00000325817	ENSP00000250113	0.000	0.000	0.000	0.000	0.000	0.572	0.800	0.907	0.991
PSMB5	PSMB6	1854354	1846162	ENSP00000355325	ENSP00000270586	0.000	0.000	0.296	0.759	0.856	0.999	0.900	0.912	0.999
CYFIP1	FXR2	1850651	1843993	ENSP00000324549	ENSP00000250113	0.000	0.000	0.000	0.000	0.000	0.572	0.000	0.922	0.965
