#node1	node2	node1_string_id	node2_string_id	node1_external_id	node2_external_id	neighborhood	fusion	cooccurence	homology	coexpression	experimental	knowledge	textmining	combined_score
AKT1	EREG	1846136	1843742	ENSP00000270202	ENSP00000244869	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.502	0.502
MC4R	STAT3	1848101	1845584	ENSP00000299766	ENSP00000264657	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.500	0.499
DAPK1	TSC2	1853632	1842755	ENSP00000350785	ENSP00000219476	0.000	0.000	0.000	0.000	0.000	0.576	0.000	0.266	0.675
ABL1	CDC42	1855665	1849707	ENSP00000361423	ENSP00000314458	0.000	0.000	0.000	0.000	0.000	0.113	0.900	0.781	0.978
MMP9	MAPK3	1855661	1845265	ENSP00000361405	ENSP00000263025	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.467	0.467
RALGDS	NF1	1855609	1853658	ENSP00000361120	ENSP00000351015	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.496	0.496
MAPK8	MAPT	1853988	1852372	ENSP00000353483	ENSP00000340820	0.000	0.000	0.000	0.000	0.065	0.564	0.900	0.916	0.996
ETV5	EGFR	1848893	1846445	ENSP00000306894	ENSP00000275493	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.500	0.500
PTEN	TSC1	1855586	1847972	ENSP00000361021	ENSP00000298552	0.000	0.000	0.000	0.000	0.000	0.370	0.000	0.777	0.853
MME	TP53	1854017	1846083	ENSP00000353679	ENSP00000269305	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.581	0.581
DDIT3	PPP1R15A	1862449	1842391	ENSP00000447803	ENSP00000200453	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.933	0.933
LINGO1	AKT1	1853173	1846136	ENSP00000347451	ENSP00000270202	0.000	0.000	0.000	0.000	0.000	0.149	0.000	0.344	0.418
MAPK3	ATP1B2	1845265	1843992	ENSP00000263025	ENSP00000250111	0.000	0.000	0.000	0.000	0.000	0.000	0.800	0.052	0.802
RALGDS	EGFR	1855609	1846445	ENSP00000361120	ENSP00000275493	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.428	0.428
MMP1	IL6	1850481	1844631	ENSP00000322788	ENSP00000258743	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.928	0.928
TSC1	TSC2	1847972	1842755	ENSP00000298552	ENSP00000219476	0.000	0.000	0.000	0.000	0.000	0.999	0.900	0.994	0.999
TYMS	MSH2	1849803	1843341	ENSP00000315644	ENSP00000233146	0.000	0.000	0.000	0.000	0.182	0.000	0.000	0.385	0.476
EPHB2	VEGFA	1856154	1855611	ENSP00000363763	ENSP00000361125	0.000	0.000	0.000	0.000	0.000	0.570	0.000	0.206	0.643
STAT1	IL13	1854113	1848685	ENSP00000354394	ENSP00000304915	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.503	0.503
VEGFA	NFKB1	1855611	1843094	ENSP00000361125	ENSP00000226574	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.649	0.649
ABL1	MSH2	1855665	1843341	ENSP00000361423	ENSP00000233146	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.864	0.864
ARNT	TP53	1853710	1846083	ENSP00000351407	ENSP00000269305	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.472	0.472
IRS1	NFKB1	1848682	1843094	ENSP00000304895	ENSP00000226574	0.000	0.000	0.000	0.000	0.000	0.149	0.000	0.501	0.557
TSC1	RPS6KB1	1847972	1843035	ENSP00000298552	ENSP00000225577	0.000	0.000	0.000	0.000	0.000	0.405	0.000	0.906	0.941
MAPK8	BAD	1853988	1849142	ENSP00000353483	ENSP00000309103	0.000	0.000	0.000	0.000	0.000	0.897	0.900	0.126	0.990
CDC42	APC	1849707	1844508	ENSP00000314458	ENSP00000257430	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.222	0.918
LDHA	VHL	1862289	1844441	ENSP00000445175	ENSP00000256474	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.479	0.479
MSX1	YY1	1857563	1845097	ENSP00000372170	ENSP00000262238	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.510	0.510
PTEN	PRKAA2	1855586	1855444	ENSP00000361021	ENSP00000360290	0.000	0.000	0.000	0.000	0.000	0.163	0.000	0.578	0.631
MTNR1B	NPY	1844486	1843611	ENSP00000257068	ENSP00000242152	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.052	0.901
MAPK8	NOTCH1	1853988	1846535	ENSP00000353483	ENSP00000277541	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.509	0.509
CIITA	VCAM1	1849861	1847502	ENSP00000316328	ENSP00000294728	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.148	0.911
IL8	CD4	1848852	1842167	ENSP00000306512	ENSP00000011653	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.508	0.508
SLC1A2	GFAP	1846562	1844225	ENSP00000278379	ENSP00000253408	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.512	0.512
TLR4	IL6	1856025	1844631	ENSP00000363089	ENSP00000258743	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.961	0.961
EIF4EBP1	STK11	1852358	1850687	ENSP00000340691	ENSP00000324856	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.701	0.701
IRS1	PIK3CA	1848682	1845446	ENSP00000304895	ENSP00000263967	0.000	0.000	0.000	0.000	0.000	0.993	0.900	0.876	0.999
AKT1	CD68	1846136	1843990	ENSP00000270202	ENSP00000250092	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.468	0.468
PSMB6	PSMC4	1846162	1842267	ENSP00000270586	ENSP00000157812	0.000	0.000	0.000	0.000	0.647	0.978	0.900	0.245	0.999
PRKAA2	AKT1	1855444	1846136	ENSP00000360290	ENSP00000270202	0.000	0.000	0.260	0.722	0.000	0.250	0.000	0.925	0.477
WT1	TP53	1851331	1846083	ENSP00000331327	ENSP00000269305	0.000	0.000	0.000	0.000	0.000	0.917	0.000	0.938	0.994
OPRM1	C3	1859815	1843781	ENSP00000394624	ENSP00000245907	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.178	0.914
EIF4EBP1	TSC1	1852358	1847972	ENSP00000340691	ENSP00000298552	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.854	0.854
MAPK8	RAC1	1853988	1853302	ENSP00000353483	ENSP00000348461	0.000	0.000	0.000	0.000	0.000	0.313	0.900	0.773	0.983
IFNA1	TP53	1846520	1846083	ENSP00000276927	ENSP00000269305	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.500	0.499
STAT1	CIITA	1854113	1849861	ENSP00000354394	ENSP00000316328	0.000	0.000	0.000	0.000	0.000	0.000	0.800	0.943	0.988
MMP13	TIMP1	1844775	1842705	ENSP00000260302	ENSP00000218388	0.000	0.000	0.000	0.000	0.000	0.107	0.000	0.961	0.964
CDC42	EGF	1849707	1845705	ENSP00000314458	ENSP00000265171	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.000	0.900
STAT1	MMP1	1854113	1850481	ENSP00000354394	ENSP00000322788	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.879	0.880
CD34	IL6	1849250	1844631	ENSP00000310036	ENSP00000258743	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.569	0.569
