#node1	node2	node1_string_id	node2_string_id	node1_external_id	node2_external_id	neighborhood	fusion	cooccurence	homology	coexpression	experimental	knowledge	textmining	combined_score
MDM2	USP7	1861282	1852711	ENSP00000417281	ENSP00000343535	0.000	0.000	0.000	0.000	0.000	0.999	0.900	0.912	0.999
GATA4	HNF1A	1851726	1844515	ENSP00000334458	ENSP00000257555	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.552	0.553
CPS1	EPHA1	1860357	1846459	ENSP00000402608	ENSP00000275815	0.000	0.000	0.000	0.000	0.000	0.101	0.000	0.399	0.436
CAMK2A	SLC9A6	1858598	1855330	ENSP00000381412	ENSP00000359729	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.701	0.701
HDAC9	SLC1A2	1860731	1846562	ENSP00000408617	ENSP00000278379	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.817	0.817
DHFR	SHMT2	1859928	1851612	ENSP00000396308	ENSP00000333667	0.000	0.000	0.000	0.000	0.128	0.000	0.900	0.726	0.974
CYP17A1	ESR1	1855129	1842435	ENSP00000358903	ENSP00000206249	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.956	0.957
ERCC2	TGFBR1	1857962	1856216	ENSP00000375809	ENSP00000364133	0.000	0.000	0.000	0.000	0.000	0.000	0.540	0.163	0.598
GRM1	GRIA3	1846816	1845529	ENSP00000282753	ENSP00000264357	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.443	0.443
LIN7A	DLG2	1862415	1856435	ENSP00000447488	ENSP00000365272	0.000	0.000	0.000	0.744	0.000	0.682	0.000	0.833	0.749
RAC1	SMAD4	1853302	1852473	ENSP00000348461	ENSP00000341551	0.000	0.000	0.000	0.000	0.000	0.200	0.000	0.407	0.505
TBR1	DLX2	1857831	1843390	ENSP00000374205	ENSP00000234198	0.000	0.000	0.000	0.000	0.000	0.075	0.000	0.769	0.777
ERBB4	CHL1	1852571	1844445	ENSP00000342235	ENSP00000256509	0.000	0.000	0.000	0.000	0.000	0.191	0.000	0.328	0.433
PTEN	NEDD4	1855586	1852948	ENSP00000361021	ENSP00000345530	0.000	0.000	0.000	0.000	0.000	0.983	0.000	0.518	0.991
IDE	APOE	1845837	1844127	ENSP00000265986	ENSP00000252486	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.631	0.631
BACE1	IDE	1850057	1845837	ENSP00000318585	ENSP00000265986	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.674	0.675
KCNJ3	KCNE2	1847534	1847221	ENSP00000295101	ENSP00000290310	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.476	0.476
SMC1A	WRN	1850543	1847932	ENSP00000323421	ENSP00000298139	0.000	0.000	0.000	0.000	0.094	0.227	0.000	0.495	0.616
SPTB	MAPT	1857851	1852372	ENSP00000374372	ENSP00000340820	0.000	0.000	0.000	0.000	0.000	0.576	0.000	0.102	0.602
