#node1	node2	node1_string_id	node2_string_id	node1_external_id	node2_external_id	neighborhood	fusion	cooccurence	homology	coexpression	experimental	knowledge	textmining	combined_score
PRKCA	KIT	1860737	1847112	ENSP00000408695	ENSP00000288135	0.000	0.000	0.000	0.613	0.000	0.602	0.900	0.264	0.962
HLA-A	HLA-DRB1	1856558	1853944	ENSP00000366005	ENSP00000353099	0.000	0.000	0.000	0.660	0.000	0.000	0.900	0.330	0.910
CFB	CR1	1861233	1854503	ENSP00000416561	ENSP00000356016	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.401	0.400
SST	DRD4	1847077	1842327	ENSP00000287641	ENSP00000176183	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.206	0.917
NRCAM	APP	1856968	1846936	ENSP00000368314	ENSP00000284981	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.634	0.635
CYP17A1	STS	1855129	1842680	ENSP00000358903	ENSP00000217961	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.091	0.905
PMCH	OPRD1	1851448	1843415	ENSP00000332225	ENSP00000234961	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.000	0.900
UBE3A	ESR1	1858549	1842435	ENSP00000381045	ENSP00000206249	0.000	0.000	0.000	0.000	0.000	0.915	0.000	0.421	0.948
ADAM17	TIMP1	1849242	1842705	ENSP00000309968	ENSP00000218388	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.654	0.654
GATA1	RIPK4	1856538	1851475	ENSP00000365858	ENSP00000332454	0.000	0.000	0.000	0.000	0.000	0.083	0.000	0.400	0.427
SOD2	NOS3	1854504	1847875	ENSP00000356022	ENSP00000297494	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.519	0.519
EDN3	TAC3	1851964	1848140	ENSP00000337128	ENSP00000300108	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.000	0.900
RET	EGFR	1853238	1846445	ENSP00000347942	ENSP00000275493	0.000	0.000	0.000	0.642	0.000	0.489	0.000	0.765	0.627
NKX2-5	GATA5	1850957	1844181	ENSP00000327758	ENSP00000252997	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.910	0.910
IL10	NOS3	1860958	1847875	ENSP00000412237	ENSP00000297494	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.896	0.896
OPRM1	OPRD1	1859815	1843415	ENSP00000394624	ENSP00000234961	0.000	0.000	0.000	0.961	0.000	0.812	0.900	0.781	0.981
BDNF	TP53	1861075	1846083	ENSP00000414303	ENSP00000269305	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.503	0.948
TP53	XRCC1	1846083	1845233	ENSP00000269305	ENSP00000262887	0.000	0.000	0.000	0.000	0.000	0.569	0.000	0.701	0.865
SLC6A5	SLC17A7	1861968	1842841	ENSP00000434364	ENSP00000221485	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.585	0.585
HDAC9	ALDH18A1	1860731	1855437	ENSP00000408617	ENSP00000360268	0.000	0.000	0.000	0.000	0.000	0.566	0.000	0.000	0.566
EDN3	NTSR2	1851964	1848558	ENSP00000337128	ENSP00000303686	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.000	0.900
EPHA3	ADAM10	1852002	1844789	ENSP00000337451	ENSP00000260408	0.000	0.000	0.000	0.000	0.000	0.812	0.000	0.400	0.882
SST	NTS	1847077	1844400	ENSP00000287641	ENSP00000256010	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.871	0.871
RPS6	TP53	1857216	1846083	ENSP00000369757	ENSP00000269305	0.000	0.000	0.000	0.000	0.000	0.150	0.000	0.534	0.586
JAK2	GATA1	1857411	1856538	ENSP00000371067	ENSP00000365858	0.000	0.000	0.000	0.000	0.000	0.074	0.000	0.581	0.595
SLC6A5	TACR1	1861968	1848544	ENSP00000434364	ENSP00000303522	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.470	0.470
SLITRK1	TSPO	1856609	1851096	ENSP00000366288	ENSP00000328973	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.519	0.519
NES	TSPO	1854764	1851096	ENSP00000357206	ENSP00000328973	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.637	0.637
SHMT1	TYMS	1850087	1849803	ENSP00000318868	ENSP00000315644	0.000	0.000	0.000	0.000	0.115	0.000	0.900	0.953	0.995
IDE	NR3C1	1845837	1843294	ENSP00000265986	ENSP00000231509	0.000	0.000	0.000	0.000	0.000	0.576	0.000	0.000	0.576
CDKN2A	ETV6	1859838	1858387	ENSP00000394932	ENSP00000379658	0.000	0.000	0.000	0.000	0.000	0.083	0.000	0.464	0.488
PSEN1	APOE	1850825	1844127	ENSP00000326366	ENSP00000252486	0.000	0.000	0.000	0.000	0.000	0.100	0.000	0.815	0.826
TNF	FLT3	1860103	1843598	ENSP00000398698	ENSP00000241453	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.483	0.483
TPH2	SLC18A2	1851106	1847963	ENSP00000329093	ENSP00000298472	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.477	0.477
EDNRB	TAC1	1856642	1850311	ENSP00000366416	ENSP00000321106	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.407	0.938
CYP17A1	ESR1	1855129	1842435	ENSP00000358903	ENSP00000206249	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.956	0.957
TRPM7	CYP19A1	1850224	1844790	ENSP00000320239	ENSP00000260433	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.451	0.451
TP53	ESR1	1846083	1842435	ENSP00000269305	ENSP00000206249	0.000	0.000	0.000	0.000	0.000	0.812	0.000	0.856	0.971
SST	SSTR1	1847077	1845937	ENSP00000287641	ENSP00000267377	0.000	0.000	0.000	0.000	0.000	0.576	0.900	0.973	0.998
TYMS	BHMT	1849803	1846377	ENSP00000315644	ENSP00000274353	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.433	0.433
PENK	PDYN	1850625	1842657	ENSP00000324248	ENSP00000217305	0.000	0.000	0.000	0.719	0.000	0.000	0.900	0.909	0.925
ITGB2	EGFR	1848511	1846445	ENSP00000303242	ENSP00000275493	0.000	0.000	0.000	0.000	0.000	0.425	0.000	0.294	0.577
SLC1A3	SLC6A4	1845695	1844969	ENSP00000265113	ENSP00000261707	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.435	0.435
TRH	SST	1848532	1847077	ENSP00000303452	ENSP00000287641	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.824	0.824
SGCE	TOR1A	1860125	1852966	ENSP00000398930	ENSP00000345719	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.747	0.747
ABCA7	IFNG	1845284	1843180	ENSP00000263094	ENSP00000229135	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.599	0.599
HLA-DQB1	TOR1A	1858691	1852966	ENSP00000382034	ENSP00000345719	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.824	0.824
PSEN1	ADAM10	1850825	1844789	ENSP00000326366	ENSP00000260408	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.836	0.836
TNF	IL1A	1860103	1845334	ENSP00000398698	ENSP00000263339	0.000	0.000	0.000	0.000	0.259	0.000	0.000	0.658	0.735
RGS1	POMC	1854596	1845600	ENSP00000356429	ENSP00000264708	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.066	0.902
PTN	TP53	1852422	1846083	ENSP00000341170	ENSP00000269305	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.460	0.460
