#node1	node2	node1_string_id	node2_string_id	node1_external_id	node2_external_id	neighborhood	fusion	cooccurence	homology	coexpression	experimental	knowledge	textmining	combined_score
GNAS	MC3R	1855402	1843686	ENSP00000360141	ENSP00000243911	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.230	0.919
TACR1	KALRN	1848544	1843581	ENSP00000303522	ENSP00000240874	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.000	0.900
HCRT	GHSR	1847406	1843590	ENSP00000293330	ENSP00000241256	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.417	0.939
CAMK2B	GRM5	1858327	1848814	ENSP00000379098	ENSP00000306138	0.000	0.000	0.000	0.000	0.000	0.000	0.800	0.214	0.836
DRD3	CHRM2	1857726	1850196	ENSP00000373169	ENSP00000319984	0.000	0.000	0.000	0.710	0.000	0.000	0.900	0.324	0.908
CNTNAP2	IMMP2L	1854217	1851161	ENSP00000354778	ENSP00000329553	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.518	0.518
FGF10	ISL1	1845589	1843262	ENSP00000264664	ENSP00000230658	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.917	0.918
HTR1A	TPH1	1849859	1843985	ENSP00000316244	ENSP00000250018	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.759	0.759
HTR1B	DRD4	1855143	1842327	ENSP00000358963	ENSP00000176183	0.000	0.000	0.000	0.772	0.000	0.000	0.900	0.630	0.914
NTF3	SEMA3A	1860000	1845736	ENSP00000397297	ENSP00000265362	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.409	0.408
FTO	PYY	1861383	1853954	ENSP00000418823	ENSP00000353198	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.482	0.482
CBS	GAPDH	1852819	1843185	ENSP00000344460	ENSP00000229239	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.488	0.488
CNR2	POMC	1856124	1845600	ENSP00000363596	ENSP00000264708	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.195	0.916
MAOB	ADH1B	1856806	1848863	ENSP00000367309	ENSP00000306606	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.216	0.918
HTR1D	OPRD1	1849640	1843415	ENSP00000313661	ENSP00000234961	0.000	0.000	0.000	0.647	0.000	0.000	0.900	0.387	0.912
HTR1A	NTRK2	1849859	1846523	ENSP00000316244	ENSP00000277120	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.506	0.506
GRIN2A	SLC1A3	1851485	1845695	ENSP00000332549	ENSP00000265113	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.618	0.618
SHMT1	CCT2	1850087	1848044	ENSP00000318868	ENSP00000299300	0.000	0.000	0.000	0.000	0.074	0.256	0.000	0.349	0.512
BCL2	ELANE	1851168	1845377	ENSP00000329623	ENSP00000263621	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.407	0.407
FLNC	ITGA1	1850897	1846809	ENSP00000327145	ENSP00000282588	0.000	0.000	0.000	0.000	0.000	0.000	0.800	0.125	0.817
CNR1	HTR2C	1855040	1846478	ENSP00000358511	ENSP00000276198	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.553	0.553
DYX1C1	DRD4	1850530	1842327	ENSP00000323275	ENSP00000176183	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.440	0.440
PARK2	UBE2H	1854466	1853222	ENSP00000355865	ENSP00000347836	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.439	0.439
CCK	OXT	1851885	1842661	ENSP00000335657	ENSP00000217386	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.953	0.995
CTLA4	IL2	1848585	1843096	ENSP00000303939	ENSP00000226730	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.756	0.756
GHRL	BCL2	1851804	1851168	ENSP00000335074	ENSP00000329623	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.835	0.835
NR4A2	POMC	1852822	1845600	ENSP00000344479	ENSP00000264708	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.500	0.499
MTR	SHMT1	1854401	1850087	ENSP00000355536	ENSP00000318868	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.661	0.964
MTNR1A	ADCY1	1848453	1847854	ENSP00000302811	ENSP00000297323	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.175	0.913
FGFR3	GAPDH	1852258	1843185	ENSP00000339824	ENSP00000229239	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.426	0.426
SLC9C1	SYT1	1848866	1844863	ENSP00000306627	ENSP00000261205	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.562	0.562
KRT8	MAPK3	1847404	1845265	ENSP00000293308	ENSP00000263025	0.000	0.000	0.000	0.000	0.000	0.576	0.000	0.101	0.602
HTR1A	OPRK1	1849859	1845773	ENSP00000316244	ENSP00000265572	0.000	0.000	0.000	0.644	0.000	0.000	0.900	0.242	0.907
RAC1	CASP3	1853302	1849375	ENSP00000348461	ENSP00000311032	0.000	0.000	0.000	0.000	0.000	0.564	0.000	0.300	0.682
NPY2R	MTNR1B	1851488	1844486	ENSP00000332591	ENSP00000257068	0.000	0.000	0.000	0.670	0.000	0.000	0.900	0.217	0.906
PRNP	BCL2	1857030	1851168	ENSP00000368752	ENSP00000329623	0.000	0.000	0.000	0.000	0.000	0.364	0.900	0.865	0.990
TNF	EGFR	1860103	1846445	ENSP00000398698	ENSP00000275493	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.539	0.539
DBH	DRD4	1858060	1842327	ENSP00000376776	ENSP00000176183	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.580	0.580
AGRP	NPY	1847270	1843611	ENSP00000290953	ENSP00000242152	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.909	0.909
HTR2A	SLC6A4	1856916	1844969	ENSP00000367959	ENSP00000261707	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.895	0.895
DISC1	NRG1	1854415	1853417	ENSP00000355593	ENSP00000349275	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.941	0.941
HK1	HKDC1	1858981	1853078	ENSP00000384774	ENSP00000346643	0.000	0.000	0.527	0.981	0.000	0.000	0.800	0.187	0.802
LGI1	CHRNA4	1855475	1855204	ENSP00000360472	ENSP00000359285	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.450	0.450
MAOB	SLC6A2	1856806	1842772	ENSP00000367309	ENSP00000219833	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.472	0.472
AGT	GRM5	1854424	1848814	ENSP00000355627	ENSP00000306138	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.041	0.900
NTRK2	EGFR	1846523	1846445	ENSP00000277120	ENSP00000275493	0.000	0.000	0.000	0.641	0.000	0.425	0.000	0.534	0.531
FGF9	VEGFA	1857512	1855611	ENSP00000371790	ENSP00000361125	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.866	0.866
PYY	CCK	1853954	1851885	ENSP00000353198	ENSP00000335657	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.962	0.962
GABRA5	GLRA2	1851869	1842690	ENSP00000335592	ENSP00000218075	0.000	0.000	0.000	0.857	0.000	0.000	0.540	0.456	0.568
MC4R	HTR2C	1848101	1846478	ENSP00000299766	ENSP00000276198	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.418	0.418
CCK	OXTR	1851885	1850627	ENSP00000335657	ENSP00000324270	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.471	0.944
GSTP1	AR	1858630	1856164	ENSP00000381607	ENSP00000363822	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.456	0.456
IL10	POMC	1860958	1845600	ENSP00000412237	ENSP00000264708	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.417	0.416
HCRTR2	MCHR1	1855363	1843943	ENSP00000359899	ENSP00000249016	0.000	0.000	0.000	0.634	0.000	0.000	0.900	0.191	0.905
OPRM1	NPY2R	1859815	1851488	ENSP00000394624	ENSP00000332591	0.000	0.000	0.000	0.658	0.000	0.000	0.900	0.125	0.902
CTSB	GSK3B	1852546	1850681	ENSP00000342070	ENSP00000324806	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.832	0.832
TF	ATP6V0C	1859071	1851182	ENSP00000385834	ENSP00000329757	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.051	0.901
IL13	IL6	1848685	1844631	ENSP00000304915	ENSP00000258743	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.924	0.924
DRD2	OPRD1	1854237	1843415	ENSP00000354859	ENSP00000234961	0.000	0.000	0.000	0.635	0.000	0.000	0.900	0.357	0.912
NF2	CASP3	1852845	1849375	ENSP00000344666	ENSP00000311032	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.646	0.647
SLC18A2	DRD4	1847963	1842327	ENSP00000298472	ENSP00000176183	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.401	0.401
RELN	GRIN2B	1859645	1846639	ENSP00000392423	ENSP00000279593	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.471	0.944
NDN	CDK14	1851495	1845800	ENSP00000332643	ENSP00000265741	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.402	0.403
ARSE	NF1	1857338	1853658	ENSP00000370526	ENSP00000351015	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.401	0.401
ZDHHC8	COMT	1858975	1854135	ENSP00000384716	ENSP00000354511	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.584	0.584
GRIN2A	GABRB3	1851485	1848038	ENSP00000332549	ENSP00000299267	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.468	0.468
ADRA2A	MTNR1B	1846654	1844486	ENSP00000280155	ENSP00000257068	0.000	0.000	0.000	0.638	0.000	0.000	0.900	0.564	0.919
CNR2	DRD4	1856124	1842327	ENSP00000363596	ENSP00000176183	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.000	0.900
MUC1	EGFR	1854790	1846445	ENSP00000357380	ENSP00000275493	0.000	0.000	0.000	0.000	0.000	0.976	0.000	0.912	0.997
