#node1	node2	node1_string_id	node2_string_id	node1_external_id	node2_external_id	neighborhood	fusion	cooccurence	homology	coexpression	experimental	knowledge	textmining	combined_score
AVPR1B	OXT	1854521	1842661	ENSP00000356094	ENSP00000217386	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.503	0.503
OXTR	ADRA1B	1850627	1848870	ENSP00000324270	ENSP00000306662	0.000	0.000	0.000	0.625	0.000	0.000	0.900	0.051	0.900
HTR1B	AGT	1855143	1854424	ENSP00000358963	ENSP00000355627	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.041	0.900
RELN	SLC6A1	1859645	1847087	ENSP00000392423	ENSP00000287766	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.404	0.404
PDE4D	PDE4B	1852945	1851429	ENSP00000345502	ENSP00000332116	0.000	0.000	0.000	0.976	0.000	0.000	0.900	0.741	0.901
CRH	PDYN	1846502	1842657	ENSP00000276571	ENSP00000217305	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.700	0.700
PLCG2	EGFR	1853836	1846445	ENSP00000352336	ENSP00000275493	0.000	0.000	0.000	0.000	0.000	0.959	0.800	0.279	0.993
NPY5R	CHRM2	1852206	1850196	ENSP00000339377	ENSP00000319984	0.000	0.000	0.000	0.623	0.000	0.000	0.900	0.121	0.903
DRD3	HTR1D	1857726	1849640	ENSP00000373169	ENSP00000313661	0.000	0.000	0.000	0.827	0.000	0.000	0.900	0.398	0.906
BDNF	APOE	1861075	1844127	ENSP00000414303	ENSP00000252486	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.539	0.539
CHRNA3	CHRNE	1849797	1847438	ENSP00000315602	ENSP00000293780	0.000	0.000	0.000	0.856	0.000	0.000	0.720	0.177	0.725
HCRTR1	PMCH	1855973	1851448	ENSP00000362810	ENSP00000332225	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.386	0.935
TSPO	GRIA1	1851096	1846982	ENSP00000328973	ENSP00000285900	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.582	0.582
AGT	MAPK3	1854424	1845265	ENSP00000355627	ENSP00000263025	0.000	0.000	0.000	0.000	0.000	0.074	0.000	0.642	0.655
NPPA	NPR2	1856505	1852411	ENSP00000365663	ENSP00000341083	0.000	0.000	0.000	0.000	0.000	0.912	0.000	0.709	0.973
ADCY8	CRH	1847008	1846502	ENSP00000286355	ENSP00000276571	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.069	0.902
CRHR2	UCN	1852388	1847676	ENSP00000340943	ENSP00000296099	0.000	0.000	0.000	0.000	0.000	0.623	0.000	0.987	0.995
DLG2	GRM4	1856435	1856056	ENSP00000365272	ENSP00000363296	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.707	0.708
TH	KNG1	1857346	1845668	ENSP00000370571	ENSP00000265023	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.407	0.407
SSTR4	DRD4	1844347	1842327	ENSP00000255008	ENSP00000176183	0.000	0.000	0.000	0.636	0.000	0.000	0.900	0.109	0.902
GMFB	AANAT	1853629	1844016	ENSP00000350757	ENSP00000250615	0.000	0.000	0.000	0.000	0.430	0.000	0.000	0.000	0.430
TRH	GRP	1848532	1844471	ENSP00000303452	ENSP00000256857	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.705	0.969
PRL	POMC	1848376	1845600	ENSP00000302150	ENSP00000264708	0.000	0.000	0.000	0.000	0.096	0.000	0.000	0.874	0.881
OPRM1	RGS7	1859815	1854398	ENSP00000394624	ENSP00000355523	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.210	0.917
CYP2D6	MAOA	1854039	1852356	ENSP00000353820	ENSP00000340684	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.450	0.942
