#node1	node2	node1_string_id	node2_string_id	node1_external_id	node2_external_id	neighborhood	fusion	cooccurence	homology	coexpression	experimental	knowledge	textmining	combined_score
KNG1	NPY	1845668	1843611	ENSP00000265023	ENSP00000242152	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.646	0.963
GLRA1	GABBR2	1860926	1844694	ENSP00000411593	ENSP00000259455	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.633	0.634
GAD1	SLC1A3	1853649	1845695	ENSP00000350928	ENSP00000265113	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.472	0.472
CCK	HTR1A	1851885	1849859	ENSP00000335657	ENSP00000316244	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.902	0.902
SLC17A6	GAD2	1845295	1844680	ENSP00000263160	ENSP00000259271	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.730	0.730
CCKAR	GNRH2	1847590	1843789	ENSP00000295589	ENSP00000245983	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.000	0.900
NEUROD2	TRH	1848877	1848532	ENSP00000306754	ENSP00000303452	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.800	0.800
ADRB1	UCP2	1854995	1849487	ENSP00000358301	ENSP00000312029	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.409	0.409
GRIK1	GRIN3A	1858771	1854310	ENSP00000382791	ENSP00000355155	0.000	0.000	0.000	0.642	0.000	0.092	0.540	0.716	0.674
GRM2	PENK	1858262	1850625	ENSP00000378492	ENSP00000324248	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.309	0.927
GRM3	GRIK5	1854350	1845238	ENSP00000355316	ENSP00000262895	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.509	0.509
GRM4	GRIN2A	1856056	1851485	ENSP00000363296	ENSP00000332549	0.000	0.000	0.000	0.000	0.000	0.095	0.000	0.693	0.710
CRHR2	HTR1A	1852388	1849859	ENSP00000340943	ENSP00000316244	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.473	0.473
CYP2D6	HTR3A	1854039	1853212	ENSP00000353820	ENSP00000347754	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.513	0.513
AGT	SST	1854424	1847077	ENSP00000355627	ENSP00000287641	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.392	0.936
GRIK1	GRIA2	1858771	1845544	ENSP00000382791	ENSP00000264426	0.000	0.000	0.000	0.894	0.000	0.000	0.540	0.787	0.577
SLC6A5	GLRA1	1861968	1860926	ENSP00000434364	ENSP00000411593	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.833	0.833
