#node1	node2	node1_string_id	node2_string_id	node1_external_id	node2_external_id	neighborhood	fusion	cooccurence	homology	coexpression	experimental	knowledge	textmining	combined_score
GNAS	HTR5A	1855402	1847093	ENSP00000360141	ENSP00000287907	0.000	0.000	0.000	0.000	0.000	0.000	0.800	0.042	0.800
GSTM1	GSTT1	1849425	1843934	ENSP00000311469	ENSP00000248935	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.963	0.996
AGT	ADM	1854424	1846549	ENSP00000355627	ENSP00000278175	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.472	0.472
ADCYAP1	ADM	1860929	1846549	ENSP00000411658	ENSP00000278175	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.070	0.903
ADRA2C	ADCY8	1859088	1847008	ENSP00000386069	ENSP00000286355	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.066	0.902
HTR1B	ADCY7	1855143	1844281	ENSP00000358963	ENSP00000254235	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.000	0.900
GNAS	DRD1	1855402	1850948	ENSP00000360141	ENSP00000327652	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.196	0.916
ADCY5	ADRB1	1861410	1854995	ENSP00000419361	ENSP00000358301	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.244	0.921
CCKBR	AGTR1	1851860	1846323	ENSP00000335544	ENSP00000273430	0.000	0.000	0.000	0.654	0.000	0.000	0.900	0.107	0.902
CSF2RB	IL4	1858897	1843288	ENSP00000384053	ENSP00000231449	0.000	0.000	0.000	0.000	0.000	0.000	0.800	0.071	0.806
BDNF	GRIK2	1861075	1859983	ENSP00000414303	ENSP00000397026	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.419	0.418
ADORA2A	CRH	1851902	1846502	ENSP00000336630	ENSP00000276571	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.162	0.912
