#node1	node2	node1_string_id	node2_string_id	node1_external_id	node2_external_id	neighborhood	fusion	cooccurence	homology	coexpression	experimental	knowledge	textmining	combined_score
GRIK1	GRIP1	1858771	1858557	ENSP00000382791	ENSP00000381098	0.000	0.000	0.000	0.000	0.000	0.626	0.000	0.431	0.778
ASCL1	CREBBP	1845903	1845124	ENSP00000266744	ENSP00000262367	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.163	0.912
AGT	ADCY3	1854424	1844803	ENSP00000355627	ENSP00000260600	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.092	0.905
ADRB2	KCNJ6	1848724	1847122	ENSP00000305372	ENSP00000288309	0.000	0.000	0.000	0.000	0.000	0.692	0.000	0.271	0.765
GRM7	GRIN2D	1853578	1845322	ENSP00000350348	ENSP00000263269	0.000	0.000	0.000	0.000	0.000	0.095	0.000	0.600	0.623
GRIK4	GRIK3	1860452	1855828	ENSP00000404063	ENSP00000362183	0.000	0.000	0.000	0.915	0.000	0.000	0.540	0.810	0.571
NAPEPLD	FAAH	1852288	1843656	ENSP00000340093	ENSP00000243167	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.873	0.873
DISC1	MAP1A	1854415	1848165	ENSP00000355593	ENSP00000300231	0.000	0.000	0.000	0.000	0.000	0.484	0.000	0.813	0.899
IMMP2L	LSG1	1851161	1845713	ENSP00000329553	ENSP00000265245	0.462	0.000	0.000	0.000	0.000	0.000	0.000	0.078	0.482
MMP9	APOE	1855661	1844127	ENSP00000361405	ENSP00000252486	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.707	0.707
ANGPT1	IL6	1861743	1844631	ENSP00000428340	ENSP00000258743	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.889	0.889
AVP	CLOCK	1857196	1849105	ENSP00000369647	ENSP00000308741	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.344	0.931
LEP	CNTFR	1849557	1843624	ENSP00000312652	ENSP00000242338	0.000	0.000	0.000	0.000	0.000	0.000	0.800	0.380	0.870
CHRM5	NALCN	1857636	1844040	ENSP00000372750	ENSP00000251127	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.649	0.649
GABRQ	GRIN2B	1855216	1846639	ENSP00000359329	ENSP00000279593	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.504	0.504
CAMK2B	ACTN2	1858327	1854402	ENSP00000379098	ENSP00000355537	0.000	0.000	0.000	0.000	0.000	0.100	0.900	0.129	0.914
GRIP1	GRM5	1858557	1848814	ENSP00000381098	ENSP00000306138	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.404	0.404
CHRNA4	HTR1A	1855204	1849859	ENSP00000359285	ENSP00000316244	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.418	0.418
MAOA	DRD5	1852356	1848813	ENSP00000340684	ENSP00000306129	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.507	0.507
ADRB1	CALCB	1854995	1853002	ENSP00000358301	ENSP00000346017	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.000	0.900
GRIN1	DLG1	1855505	1852968	ENSP00000360608	ENSP00000345731	0.000	0.000	0.000	0.000	0.000	0.272	0.000	0.804	0.851
COMT	DTNBP1	1854135	1852490	ENSP00000354511	ENSP00000341680	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.647	0.647
GABRQ	GRIA1	1855216	1846982	ENSP00000359329	ENSP00000285900	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.504	0.504
CACNG5	CACNG2	1848490	1848138	ENSP00000303092	ENSP00000300105	0.000	0.000	0.000	0.786	0.000	0.000	0.720	0.795	0.767
MARK1	CDC25B	1854471	1843788	ENSP00000355884	ENSP00000245960	0.000	0.000	0.000	0.000	0.000	0.150	0.000	0.353	0.426
BCL2	CRH	1851168	1846502	ENSP00000329623	ENSP00000276571	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.835	0.835
GSK3B	ASCL1	1850681	1845903	ENSP00000324806	ENSP00000266744	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.623	0.623
DDC	MAOA	1853612	1852356	ENSP00000350616	ENSP00000340684	0.000	0.000	0.000	0.000	0.078	0.000	0.900	0.581	0.957
BDNF	HOMER1	1861075	1851715	ENSP00000414303	ENSP00000334382	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.508	0.508
KCNQ2	KNG1	1853793	1845668	ENSP00000352035	ENSP00000265023	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.500	0.499
GNG2	HTR1A	1851723	1849859	ENSP00000334448	ENSP00000316244	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.384	0.935
CCR6	CCL2	1852212	1843055	ENSP00000339393	ENSP00000225831	0.000	0.000	0.000	0.000	0.000	0.000	0.800	0.310	0.856
CHRM4	ADCY9	1860789	1847461	ENSP00000409378	ENSP00000294016	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.343	0.931
GRM8	ADCY9	1852779	1847461	ENSP00000344173	ENSP00000294016	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.192	0.915
AGT	CAT	1854424	1843587	ENSP00000355627	ENSP00000241052	0.000	0.000	0.000	0.000	0.071	0.000	0.000	0.410	0.428
CHRNA7	CHRND	1860670	1844593	ENSP00000407546	ENSP00000258385	0.000	0.000	0.000	0.826	0.000	0.000	0.720	0.466	0.741
GABRA2	CHRM2	1853367	1850196	ENSP00000348897	ENSP00000319984	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.569	0.569
BDNF	CRHR1	1861075	1858593	ENSP00000414303	ENSP00000381333	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.537	0.537
ADRA1B	DRD4	1848870	1842327	ENSP00000306662	ENSP00000176183	0.000	0.000	0.000	0.712	0.000	0.576	0.000	0.161	0.591
DRD3	MTNR1B	1857726	1844486	ENSP00000373169	ENSP00000257068	0.000	0.000	0.000	0.644	0.000	0.000	0.900	0.102	0.902
HLA-DQB1	MBP	1858691	1857547	ENSP00000382034	ENSP00000372025	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.464	0.463
GRIN1	GRIA2	1855505	1845544	ENSP00000360608	ENSP00000264426	0.000	0.000	0.000	0.694	0.000	0.099	0.720	0.882	0.807
MMP3	CCL2	1848108	1843055	ENSP00000299855	ENSP00000225831	0.000	0.000	0.000	0.000	0.000	0.576	0.000	0.471	0.766
CNR2	HTR1D	1856124	1849640	ENSP00000363596	ENSP00000313661	0.000	0.000	0.000	0.640	0.000	0.000	0.900	0.061	0.900
ADCY9	MCHR2	1847461	1846744	ENSP00000294016	ENSP00000281806	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.078	0.903
ADRA1A	HTR2A	1857247	1856916	ENSP00000369960	ENSP00000367959	0.000	0.000	0.000	0.728	0.000	0.000	0.900	0.285	0.906
CSF2RB	FYN	1858897	1853081	ENSP00000384053	ENSP00000346671	0.000	0.000	0.000	0.000	0.000	0.576	0.000	0.121	0.611
HLA-A	FYN	1856558	1853081	ENSP00000366005	ENSP00000346671	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.067	0.902
AGT	GRM1	1854424	1846816	ENSP00000355627	ENSP00000282753	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.000	0.900
HTR7	GRP	1852055	1844471	ENSP00000337949	ENSP00000256857	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.563	0.563
