#node1	node2	node1_string_id	node2_string_id	node1_external_id	node2_external_id	neighborhood	fusion	cooccurence	homology	coexpression	experimental	knowledge	textmining	combined_score
CHRM5	AVPR1A	1857636	1848027	ENSP00000372750	ENSP00000299178	0.000	0.000	0.000	0.623	0.000	0.000	0.900	0.146	0.904
ADRA1D	TACR2	1857034	1855880	ENSP00000368766	ENSP00000362403	0.000	0.000	0.000	0.689	0.000	0.000	0.900	0.089	0.901
AGT	CHRM3	1854424	1844372	ENSP00000355627	ENSP00000255380	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.000	0.900
VIPR1	LHCGR	1850905	1847515	ENSP00000327246	ENSP00000294954	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.081	0.904
RAPGEF4	POMC	1858455	1845600	ENSP00000380271	ENSP00000264708	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.829	0.829
CNTF	APOE	1854361	1844127	ENSP00000355370	ENSP00000252486	0.000	0.000	0.000	0.000	0.000	0.576	0.000	0.841	0.930
NPY1R	SSTR3	1854180	1851219	ENSP00000354652	ENSP00000330138	0.000	0.000	0.000	0.704	0.000	0.000	0.900	0.367	0.910
PIK3CG	CHRM1	1853801	1848849	ENSP00000352121	ENSP00000306490	0.000	0.000	0.000	0.000	0.000	0.000	0.800	0.102	0.812
PYY	CCKAR	1853954	1847590	ENSP00000353198	ENSP00000295589	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.404	0.404
NPS	ADRA1B	1858560	1848870	ENSP00000381105	ENSP00000306662	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.000	0.900
TAC3	HTR2B	1848140	1844597	ENSP00000300108	ENSP00000258400	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.043	0.900
MAOB	ADH1B	1856806	1848863	ENSP00000367309	ENSP00000306606	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.216	0.918
GRPR	GLRA2	1857195	1842690	ENSP00000369643	ENSP00000218075	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.619	0.619
ACTN2	GRIN2A	1854402	1851485	ENSP00000355537	ENSP00000332549	0.000	0.000	0.000	0.000	0.000	0.093	0.900	0.097	0.911
GHRHR	VIPR2	1850214	1845082	ENSP00000320180	ENSP00000262178	0.000	0.000	0.000	0.919	0.000	0.000	0.900	0.392	0.902
SLC1A1	SLC17A7	1845121	1842841	ENSP00000262352	ENSP00000221485	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.533	0.533
NPY2R	HTR5A	1851488	1847093	ENSP00000332591	ENSP00000287907	0.000	0.000	0.000	0.663	0.000	0.000	0.900	0.000	0.900
GRIN3A	GRIA4	1854310	1846800	ENSP00000355155	ENSP00000282499	0.000	0.000	0.000	0.638	0.000	0.092	0.720	0.657	0.796
DRD2	GRIN2A	1854237	1851485	ENSP00000354859	ENSP00000332549	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.439	0.439
GRM7	POMC	1853578	1845600	ENSP00000350348	ENSP00000264708	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.138	0.910
OPRM1	NPY5R	1859815	1852206	ENSP00000394624	ENSP00000339377	0.000	0.000	0.000	0.627	0.000	0.000	0.900	0.161	0.904
HCRTR1	TAC1	1855973	1850311	ENSP00000362810	ENSP00000321106	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.101	0.906
HTR2A	NTSR2	1856916	1848558	ENSP00000367959	ENSP00000303686	0.000	0.000	0.000	0.636	0.000	0.000	0.900	0.070	0.901
AVP	GRPR	1857196	1857195	ENSP00000369647	ENSP00000369643	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.234	0.920
CHAT	TAC1	1851961	1850311	ENSP00000337103	ENSP00000321106	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.811	0.811
GAD1	SLC6A3	1853649	1846148	ENSP00000350928	ENSP00000270349	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.482	0.482
LYN	PIK3CG	1861765	1853801	ENSP00000428924	ENSP00000352121	0.000	0.000	0.000	0.000	0.000	0.818	0.900	0.589	0.991
BDNF	ACHE	1861075	1848506	ENSP00000414303	ENSP00000303211	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.582	0.582
GALR1	PDYN	1848096	1842657	ENSP00000299727	ENSP00000217305	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.243	0.921
TAC3	GNRH1	1848140	1846491	ENSP00000300108	ENSP00000276414	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.700	0.968
DTNBP1	SYN1	1852490	1847658	ENSP00000341680	ENSP00000295987	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.856	0.856
SERPINA6	PGR	1852633	1850711	ENSP00000342850	ENSP00000325120	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.501	0.501
ADRA2A	SLC6A2	1846654	1842772	ENSP00000280155	ENSP00000219833	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.508	0.508
CORT	SST	1856601	1847077	ENSP00000366248	ENSP00000287641	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.942	0.942
GRIK1	SLC1A6	1858771	1842859	ENSP00000382791	ENSP00000221742	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.455	0.455
